date,time,gas,selected_lag_s,row_lag,hdi_low_s,hdi_high_s,hdi_range_s,reliability_class,best_combination,edge_pinned,fallback_used,raw_covariance
2025-06-01,00:30,co2,   -1.3000,     -13,  -10.0000,    8.3000,   18.3000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,00:30,h2o,    1.9000,      19,   -9.9000,    6.7000,   16.6000,prefiltered,wc,F,T,  -9999.000000
2025-06-01,00:30,gas4,    1.0000,      10,   -8.6000,    9.9000,   18.5000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,01:00,co2,    1.0000,      10,  -10.0000,    7.6000,   17.6000,prefiltered,wc,F,T,  -9999.000000
2025-06-01,01:00,h2o,    1.2000,      12,   -9.8000,    8.8000,   18.6000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,01:00,gas4,    1.0000,      10,  -10.0000,    5.6000,   15.6000,prefiltered,wc,F,T,  -9999.000000
2025-06-01,01:30,co2,   -0.2000,      -2,  -10.0000,    4.9000,   14.9000,prefiltered,tc,F,T,  -9999.000000
2025-06-01,01:30,h2o,    3.5000,      35,  -10.0000,    6.7000,   16.7000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,01:30,gas4,   -3.9000,     -39,   -7.2000,    9.3000,   16.5000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,02:00,co2,   -0.5000,      -5,  -10.0000,    4.8000,   14.8000,prefiltered,wc,F,T,  -9999.000000
2025-06-01,02:00,h2o,    3.2000,      32,   -6.6000,    8.6000,   15.2000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,02:00,gas4,    1.8000,      18,   -9.2000,    8.7000,   17.9000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,02:30,co2,   -6.7000,     -67,   -9.0000,    6.4000,   15.4000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,02:30,h2o,    3.2000,      32,   -6.9000,    7.2000,   14.1000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,02:30,gas4,   -6.1000,     -61,   -7.8000,   10.0000,   17.8000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,03:00,co2,   -1.3000,     -13,   -7.6000,    8.3000,   15.9000,prefiltered,tc,F,T,  -9999.000000
2025-06-01,03:00,h2o,    1.8000,      18,   -9.9000,    6.1000,   16.0000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,03:00,gas4,   -0.3000,      -3,   -6.1000,   10.0000,   16.1000,prefiltered,tc,F,T,  -9999.000000
2025-06-01,03:30,co2,   -8.7000,     -87,   -8.7000,   10.0000,   18.7000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,03:30,h2o,   -1.5000,     -15,   -5.8000,   10.0000,   15.8000,prefiltered,tc,F,T,  -9999.000000
2025-06-01,03:30,gas4,    1.6000,      16,  -10.0000,    4.8000,   14.8000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,04:00,co2,   -5.7000,     -57,   -6.9000,    6.9000,   13.8000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,04:00,h2o,    0.3000,       3,   -2.2000,   10.0000,   12.2000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,04:00,gas4,   -1.1000,     -11,  -10.0000,    7.3000,   17.3000,prefiltered,tc,F,T,  -9999.000000
2025-06-01,04:30,co2,   -0.3000,      -3,   -8.8000,    8.4000,   17.2000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,04:30,h2o,   -0.6000,      -6,  -10.0000,    7.3000,   17.3000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,04:30,gas4,    4.7000,      47,   -9.7000,    7.1000,   16.8000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,05:00,co2,   -4.6000,     -46,  -10.0000,    4.7000,   14.7000,prefiltered,wc,F,T,  -9999.000000
2025-06-01,05:00,h2o,    1.9000,      19,  -10.0000,    7.1000,   17.1000,prefiltered,tc,F,T,  -9999.000000
2025-06-01,05:00,gas4,   -8.1000,     -81,   -8.3000,    9.8000,   18.1000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,05:30,co2,   -5.1000,     -51,   -6.4000,   10.0000,   16.4000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,05:30,h2o,    0.7000,       7,   -5.9000,   10.0000,   15.9000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,05:30,gas4,   -1.3000,     -13,   -9.3000,    8.9000,   18.2000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,06:00,co2,    5.0000,      50,  -10.0000,    6.3000,   16.3000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,06:00,h2o,    3.9000,      39,   -5.7000,    6.8000,   12.5000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,06:00,gas4,    4.3000,      43,   -9.3000,    8.6000,   17.9000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,06:30,co2,   -0.6000,      -6,   -7.7000,   10.0000,   17.7000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,06:30,h2o,   -1.9000,     -19,   -4.4000,   10.0000,   14.4000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,06:30,gas4,   -1.1000,     -11,  -10.0000,    7.0000,   17.0000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,07:00,co2,   -0.2000,      -2,   -6.2000,   10.0000,   16.2000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,07:00,h2o,   -2.4000,     -24,   -5.5000,    6.4000,   11.9000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,07:00,gas4,   -1.6000,     -16,   -6.0000,   10.0000,   16.0000,prefiltered,wc,F,T,  -9999.000000
2025-06-01,07:30,co2,   -2.8000,     -28,   -4.1000,   10.0000,   14.1000,prefiltered,tc,F,T,  -9999.000000
2025-06-01,07:30,h2o,   -2.5000,     -25,  -10.0000,    2.8000,   12.8000,prefiltered,tc,F,T,  -9999.000000
2025-06-01,07:30,gas4,   -1.3000,     -13,   -5.2000,   10.0000,   15.2000,prefiltered,wc,F,T,  -9999.000000
2025-06-01,08:00,co2,   -5.8000,     -58,   -8.0000,    9.4000,   17.4000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,08:00,h2o,   -1.2000,     -12,   -8.6000,    7.1000,   15.7000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,08:00,gas4,    0.2000,       2,  -10.0000,    6.6000,   16.6000,prefiltered,tc,F,T,  -9999.000000
2025-06-01,08:30,co2,   -3.2000,     -32,  -10.0000,    7.9000,   17.9000,prefiltered,wc,F,T,  -9999.000000
2025-06-01,08:30,h2o,   -2.5000,     -25,   -7.3000,    8.1000,   15.4000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,08:30,gas4,   -1.1000,     -11,   -9.9000,    8.0000,   17.9000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,09:00,co2,   -4.4000,     -44,   -4.6000,    9.7000,   14.3000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,09:00,h2o,    6.1000,      61,   -9.4000,    9.0000,   18.4000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,09:00,gas4,    0.5000,       5,   -6.7000,   10.0000,   16.7000,prefiltered,tc,F,T,  -9999.000000
2025-06-01,09:30,co2,   -2.6000,     -26,   -4.3000,   10.0000,   14.3000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,09:30,h2o,   -0.2000,      -2,   -8.0000,    6.0000,   14.0000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,09:30,gas4,   -0.3000,      -3,   -9.2000,    6.6000,   15.8000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,10:00,co2,   10.0000,     100,   -6.3000,   10.0000,   16.3000,edge_pinned,ct,T,T,  -9999.000000
2025-06-01,10:00,h2o,   -2.6000,     -26,   -8.0000,   10.0000,   18.0000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,10:00,gas4,    1.9000,      19,   -6.8000,    9.4000,   16.2000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,10:30,co2,   -3.0000,     -30,   -8.8000,    8.4000,   17.2000,prefiltered,tc,F,T,  -9999.000000
2025-06-01,10:30,h2o,   -1.4000,     -14,   -2.2000,   10.0000,   12.2000,prefiltered,wc,F,T,  -9999.000000
2025-06-01,10:30,gas4,    0.9000,       9,  -10.0000,    7.4000,   17.4000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,11:00,co2,    9.9000,      99,   -6.8000,   10.0000,   16.8000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,11:00,h2o,   -0.7000,      -7,   -7.4000,    8.2000,   15.6000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,11:00,gas4,  -10.0000,    -100,  -10.0000,    6.4000,   16.4000,edge_pinned,wc,T,T,  -9999.000000
2025-06-01,11:30,co2,    2.6000,      26,   -6.2000,   10.0000,   16.2000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,11:30,h2o,   -2.2000,     -22,   -6.4000,   10.0000,   16.4000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,11:30,gas4,    2.9000,      29,   -7.3000,   10.0000,   17.3000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,12:00,co2,    0.0000,       0,   -6.8000,   10.0000,   16.8000,prefiltered,tc,F,T,  -9999.000000
2025-06-01,12:00,h2o,   -1.2000,     -12,   -6.6000,    8.7000,   15.3000,prefiltered,wc,F,T,  -9999.000000
2025-06-01,12:00,gas4,   -5.6000,     -56,  -10.0000,    7.2000,   17.2000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,12:30,co2,   10.0000,     100,   -8.5000,   10.0000,   18.5000,edge_pinned,tc,T,T,  -9999.000000
2025-06-01,12:30,h2o,    3.1000,      31,    3.1000,   10.0000,    6.9000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,12:30,gas4,   -4.7000,     -47,   -8.9000,    7.9000,   16.8000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,13:00,co2,    3.5000,      35,   -7.7000,    9.0000,   16.7000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,13:00,h2o,    5.0000,      50,   -8.4000,   10.0000,   18.4000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,13:00,gas4,   -2.7000,     -27,   -9.2000,    7.7000,   16.9000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,13:30,co2,   -3.7000,     -37,   -8.2000,   10.0000,   18.2000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,13:30,h2o,   10.0000,     100,   -1.2000,   10.0000,   11.2000,edge_pinned,ct,T,T,  -9999.000000
2025-06-01,13:30,gas4,    8.3000,      83,   -8.0000,    9.3000,   17.3000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,14:00,co2,   -1.3000,     -13,   -9.1000,    7.3000,   16.4000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,14:00,h2o,    1.5000,      15,   -4.3000,   10.0000,   14.3000,prefiltered,tc,F,T,  -9999.000000
2025-06-01,14:00,gas4,    5.3000,      53,   -9.3000,    5.9000,   15.2000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,14:30,co2,   -3.7000,     -37,   -7.3000,    9.5000,   16.8000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,14:30,h2o,    0.4000,       4,   -4.8000,    5.8000,   10.6000,prefiltered,wc,F,T,  -9999.000000
2025-06-01,14:30,gas4,   -2.0000,     -20,   -9.8000,    7.8000,   17.6000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,15:00,co2,   -2.2000,     -22,   -4.8000,   10.0000,   14.8000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,15:00,h2o,   -1.5000,     -15,   -4.1000,   10.0000,   14.1000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,15:00,gas4,    0.4000,       4,   -9.4000,    6.3000,   15.7000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,15:30,co2,   -0.1000,      -1,   -6.7000,    9.5000,   16.2000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,15:30,h2o,    2.5000,      25,   -0.3000,    9.7000,   10.0000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,15:30,gas4,   -0.5000,      -5,   -9.2000,    4.7000,   13.9000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,16:00,co2,    0.3000,       3,   -6.5000,   10.0000,   16.5000,prefiltered,tc,F,T,  -9999.000000
2025-06-01,16:00,h2o,    8.7000,      87,   -8.5000,    9.1000,   17.6000,prefiltered,ct,F,T,  -9999.000000
2025-06-01,16:00,gas4,   -0.4000,      -4,  -10.0000,    4.7000,   14.7000,prefiltered,tc,F,T,  -9999.000000
2025-06-01,16:30,co2,   -2.1000,     -21,  -10.0000,    9.4000,   19.4000,prefiltered,wc,F,T,  -9999.000000
2025-06-01,16:30,h2o,    1.4000,      14,   -4.4000,   10.0000,   14.4000,prefiltered,cw,F,T,  -9999.000000
2025-06-01,16:30,gas4,   -0.4000,      -4,   -8.2000,    8.9000,   17.1000,prefiltered,cw,F,T,  -9999.000000
