date,time,gas,raw_selected_lag_s,raw_row_lag,applied_lag_s,applied_row_lag,hdi_low_s,hdi_high_s,hdi_range_s,reliability_class,best_combination,edge_pinned,fallback_used,fallback_source,raw_covariance
2025-06-01,10:30,co2,   16.4000,     164,   10.2000,     102,  -24.2000,   27.6000,   51.8000,fallback,cw,F,T,median_raw,     -0.001399
2025-06-01,10:30,h2o,    6.7000,      67,    8.6500,      87,   -4.8000,   30.4000,   35.2000,fallback,ct,F,T,median_raw,     -0.000274
2025-06-01,10:30,gas4,    9.8000,      98,    9.7500,      98,  -10.6000,   27.3000,   37.9000,fallback,tc,F,T,median_raw,      0.000000
2025-06-01,11:00,co2,    8.3000,      83,   10.2000,     102,  -16.4000,   33.9000,   50.3000,fallback,cw,F,T,median_raw,     -0.001074
2025-06-01,11:00,h2o,    7.4000,      74,    8.6500,      87,  -13.9000,   27.0000,   40.9000,fallback,wc,F,T,median_raw,      0.000004
2025-06-01,11:00,gas4,    8.0000,      80,    9.7500,      98,  -24.5000,   30.9000,   55.4000,fallback,cw,F,T,median_raw,     -0.000000
2025-06-01,11:30,co2,   11.9000,     119,   10.2000,     102,  -18.8000,   34.8000,   53.6000,fallback,wc,F,T,median_raw,      0.000238
2025-06-01,11:30,h2o,    6.9000,      69,    8.6500,      87,  -19.8000,   30.1000,   49.9000,fallback,cw,F,T,median_raw,      0.000106
2025-06-01,11:30,gas4,   10.5000,     105,    9.7500,      98,   -7.3000,   33.5000,   40.8000,fallback,wc,F,T,median_raw,     -0.000000
2025-06-01,12:00,co2,    6.8000,      68,   10.2000,     102,  -10.4000,   32.7000,   43.1000,fallback,cw,F,T,median_raw,     -0.000028
2025-06-01,12:00,h2o,    8.8000,      88,    8.6500,      87,  -11.0000,   30.5000,   41.5000,fallback,wc,F,T,median_raw,     -0.000136
2025-06-01,12:00,gas4,    4.4000,      44,    9.7500,      98,  -19.9000,   34.9000,   54.8000,fallback,ct,F,T,median_raw,     -0.000000
2025-06-01,12:30,co2,   12.6000,     126,   10.2000,     102,  -24.7000,   31.5000,   56.2000,fallback,wc,F,T,median_raw,      0.000697
2025-06-01,12:30,h2o,   10.0000,     100,    8.6500,      87,  -21.4000,   32.1000,   53.5000,fallback,wc,F,T,median_raw,      0.000147
2025-06-01,12:30,gas4,    9.7000,      97,    9.7500,      98,  -21.1000,   32.3000,   53.4000,fallback,cw,F,T,median_raw,     -0.000000
2025-06-01,13:00,co2,    6.4000,      64,   10.2000,     102,  -15.2000,   33.9000,   49.1000,fallback,cw,F,T,median_raw,     -0.001859
2025-06-01,13:00,h2o,   10.0000,     100,    8.6500,      87,  -19.4000,   28.5000,   47.9000,fallback,cw,F,T,median_raw,     -0.000141
2025-06-01,13:00,gas4,    6.4000,      64,    9.7500,      98,  -20.9000,   25.7000,   46.6000,fallback,ct,F,T,median_raw,      0.000000
2025-06-01,13:30,co2,   10.0000,     100,   10.2000,     102,  -17.3000,   33.4000,   50.7000,fallback,wc,F,T,median_raw,     -0.002170
2025-06-01,13:30,h2o,   10.9000,     109,    8.6500,      87,   -3.5000,   19.7000,   23.2000,fallback,cw,F,T,median_raw,      0.000014
2025-06-01,13:30,gas4,    3.7000,      37,    9.7500,      98,  -18.7000,   29.9000,   48.6000,fallback,ct,F,T,median_raw,      0.000000
2025-06-01,14:00,co2,    8.9000,      89,   10.2000,     102,  -15.5000,   30.3000,   45.8000,fallback,wc,F,T,median_raw,     -0.000204
2025-06-01,14:00,h2o,    8.5000,      85,    8.6500,      87,   -4.1000,   26.5000,   30.6000,fallback,wc,F,T,median_raw,      0.000093
2025-06-01,14:00,gas4,   15.5000,     155,    9.7500,      98,  -24.4000,   25.5000,   49.9000,fallback,cw,F,T,median_raw,      0.000000
2025-06-01,14:30,co2,   12.4000,     124,   10.2000,     102,  -17.4000,   30.8000,   48.2000,fallback,cw,F,T,median_raw,     -0.380846
2025-06-01,14:30,h2o,   10.4000,     104,    8.6500,      87,  -10.4000,   32.8000,   43.2000,fallback,wc,F,T,median_raw,      0.069574
2025-06-01,14:30,gas4,   13.3000,     133,    9.7500,      98,  -21.7000,   26.5000,   48.2000,fallback,cw,F,T,median_raw,     -0.000001
2025-06-01,15:00,co2,   10.4000,     104,   10.2000,     102,  -20.6000,   30.5000,   51.1000,fallback,wc,F,T,median_raw,      0.000237
2025-06-01,15:00,h2o,    5.6000,      56,    8.6500,      87,   -4.9000,   33.8000,   38.7000,fallback,wc,F,T,median_raw,      0.000031
2025-06-01,15:00,gas4,   10.8000,     108,    9.7500,      98,  -25.0000,   27.7000,   52.7000,fallback,ct,F,T,median_raw,      0.000001
