date,time,gas,raw_selected_lag_s,raw_row_lag,applied_lag_s,applied_row_lag,hdi_low_s,hdi_high_s,hdi_range_s,reliability_class,best_combination,edge_pinned,fallback_used,fallback_source,effective_min_lag_s,effective_max_lag_s,effective_block_length_s,block_length_clamped,raw_covariance
2025-06-01,10:30,co2,   16.0000,     160,   16.1000,     161,   -4.9000,   17.1000,   22.0000,fallback,ct,F,T,maxcov_default,   -5.0000,   25.0000,   20.0000,F,     -0.000461
2025-06-01,10:30,h2o,    0.3000,       3,   17.3000,     173,   -1.5000,   20.3000,   21.8000,fallback,wc,F,T,maxcov_default,   -5.0000,   25.0000,   20.0000,F,      0.000146
2025-06-01,10:30,gas4,    1.4000,      14,   19.3000,     193,   -5.0000,   21.9000,   26.9000,fallback,cw,F,T,maxcov_default,   -5.0000,   25.0000,   20.0000,F,     -0.000000
2025-06-01,11:00,co2,   16.2000,     162,   16.2000,     162,   15.8000,   16.6000,    0.8000,S1_optimal,ct,F,F,native,   -5.0000,   25.0000,   20.0000,F,      0.000069
2025-06-01,11:00,h2o,   16.8000,     168,   17.0000,     170,   -3.6000,   17.5000,   21.1000,fallback,ct,F,T,maxcov_default,   -5.0000,   25.0000,   20.0000,F,      0.000100
2025-06-01,11:00,gas4,    2.3000,      23,   15.4000,     154,   -4.9000,   21.9000,   26.8000,fallback,ct,F,T,maxcov_default,   -5.0000,   25.0000,   20.0000,F,      0.000000
2025-06-01,11:30,co2,   16.0000,     160,   16.0000,     160,   -2.7000,   19.2000,   21.9000,S2_optimal,tc,F,F,native,   -5.0000,   25.0000,   20.0000,F,     -0.000954
2025-06-01,11:30,h2o,   16.6000,     166,   16.7000,     167,   -4.1000,   17.9000,   22.0000,fallback,tc,F,T,maxcov_default,   -5.0000,   25.0000,   20.0000,F,      0.000118
2025-06-01,11:30,gas4,    7.5000,      75,   20.1000,     201,   -4.5000,   22.0000,   26.5000,fallback,ct,F,T,maxcov_default,   -5.0000,   25.0000,   20.0000,F,      0.000000
2025-06-01,12:00,co2,   16.1000,     161,   16.1000,     161,   15.9000,   16.3000,    0.4000,S1_optimal,ct,F,F,native,   -5.0000,   25.0000,   20.0000,F,      0.000265
2025-06-01,12:00,h2o,   16.7000,     167,   16.9000,     169,    2.4000,   17.3000,   14.9000,fallback,ct,F,T,maxcov_default,   -5.0000,   25.0000,   20.0000,F,     -0.000189
2025-06-01,12:00,gas4,    1.9000,      19,   15.7000,     157,   -4.8000,   21.9000,   26.7000,fallback,cw,F,T,maxcov_default,   -5.0000,   25.0000,   20.0000,F,      0.000000
2025-06-01,12:30,co2,   16.1000,     161,   16.1000,     161,   -3.2000,   21.1000,   24.3000,S2_optimal,tc,F,F,native,   -5.0000,   25.0000,   20.0000,F,     -0.000226
2025-06-01,12:30,h2o,   16.4000,     164,   16.8000,     168,   -0.8000,   21.9000,   22.7000,fallback,tc,F,T,maxcov_default,   -5.0000,   25.0000,   20.0000,F,      0.000220
2025-06-01,12:30,gas4,    2.9000,      29,   13.3000,     133,   -5.0000,   22.4000,   27.4000,fallback,cw,F,T,maxcov_default,   -5.0000,   25.0000,   20.0000,F,      0.000000
2025-06-01,13:00,co2,   16.0000,     160,   16.0000,     160,   15.8000,   16.3000,    0.5000,S1_optimal,ct,F,F,native,   -5.0000,   25.0000,   20.0000,F,      0.000704
2025-06-01,13:00,h2o,   16.5000,     165,   16.5000,     165,   16.3000,   17.0000,    0.7000,S1_optimal,ct,F,F,native,   -5.0000,   25.0000,   20.0000,F,      0.000001
2025-06-01,13:00,gas4,   -2.9000,     -29,   24.7000,     247,   -5.0000,   17.2000,   22.2000,fallback,ct,F,T,maxcov_default,   -5.0000,   25.0000,   20.0000,F,     -0.000000
2025-06-01,13:30,co2,   16.0000,     160,   16.0000,     160,   -4.7000,   16.2000,   20.9000,S2_optimal,ct,F,F,native,   -5.0000,   25.0000,   20.0000,F,     -0.001591
2025-06-01,13:30,h2o,   16.4000,     164,   16.4000,     164,    0.3000,   24.0000,   23.7000,S2_optimal,tc,F,F,native,   -5.0000,   25.0000,   20.0000,F,      0.000361
2025-06-01,13:30,gas4,   -0.7000,      -7,   15.3000,     153,   -4.2000,   22.4000,   26.6000,fallback,cw,F,T,maxcov_default,   -5.0000,   25.0000,   20.0000,F,     -0.000000
2025-06-01,14:00,co2,   16.0000,     160,   16.0000,     160,   15.3000,   16.2000,    0.9000,S1_optimal,ct,F,F,native,   -5.0000,   25.0000,   20.0000,F,     -0.003374
2025-06-01,14:00,h2o,   16.4000,     164,   16.4000,     164,   16.2000,   16.7000,    0.5000,S1_optimal,ct,F,F,native,   -5.0000,   25.0000,   20.0000,F,     -0.000029
2025-06-01,14:00,gas4,    4.9000,      49,   21.0000,     210,   -4.8000,   21.0000,   25.8000,fallback,ct,F,T,maxcov_default,   -5.0000,   25.0000,   20.0000,F,     -0.000000
2025-06-01,14:30,co2,   15.9000,     159,   15.9000,     159,   -3.7000,   16.3000,   20.0000,S2_optimal,ct,F,F,native,   -5.0000,   25.0000,   20.0000,F,     -0.478857
2025-06-01,14:30,h2o,   16.4000,     164,   16.4000,     164,   -4.0000,   16.8000,   20.8000,S2_optimal,tc,F,F,native,   -5.0000,   25.0000,   20.0000,F,      0.132861
2025-06-01,14:30,gas4,    3.6000,      36,   23.2000,     232,   -4.6000,   23.5000,   28.1000,fallback,cw,F,T,maxcov_default,   -5.0000,   25.0000,   20.0000,F,      0.000003
2025-06-01,15:00,co2,   16.0000,     160,   16.0000,     160,    7.1000,   16.3000,    9.2000,S2_optimal,ct,F,F,native,   -5.0000,   25.0000,   20.0000,F,     -0.001308
2025-06-01,15:00,h2o,   16.5000,     165,   16.5000,     165,   -1.9000,   16.7000,   18.6000,S2_optimal,ct,F,F,native,   -5.0000,   25.0000,   20.0000,F,      0.000508
2025-06-01,15:00,gas4,    0.8000,       8,   17.1000,     171,   -5.0000,   19.7000,   24.7000,fallback,ct,F,T,maxcov_default,   -5.0000,   25.0000,   20.0000,F,     -0.000000
